Respondent code,Industry Type:,Business Category, Switching to LED Lightning, Implementing Power Management Settings, Regular Maintenance of Equipment, Using Energy-Efficient Appliances, Optimizing HVAC Systems, Adopting Renewable Energy Sources, Implementing Energy Monitoring Systems, Encouraging Behavioral Changes, Upgrading to High-Efficiency Motors and Drives
1,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
2,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Applicable
3,Retail,Micro,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
4,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
5,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
6,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
7,Food and beverages ,Small,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
8,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
9,Services,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Not Applicable
10,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Not Applicable
11,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
12,Manufacturing,Small,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Applicable
13,Retail,Small,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Not Applicable
14,Services,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
15,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
16,Services,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Not Applicable
17,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Not Applicable
18,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
19,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Not Applicable
20,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
21,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
22,Retail,Micro,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
23,Manufacturing,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
24,Services,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
25,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
26,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
27,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
28,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
29,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
30,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
31,Retail,Micro,Applicable,Not Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
32,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
33,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
34,Retail,Micro,Applicable,Not Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
35,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
36,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
37,Retail,Micro,Applicable,Not Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
38,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
39,Manufacturing,Micro,Applicable,Not Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
40,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
41,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
42,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
43,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
44,Services,Small,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
45,Manufacturing,Micro,Applicable,Not Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
46,Services,Medium,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
47,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
48,Agriculture,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Applicable
49,Retail,Micro,Applicable,Not Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
50,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Not Applicable
51,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Not Applicable
52,Agriculture,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Applicable
53,Manufacturing,Micro,Not Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
54,Services,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
55,Retail,Micro,Applicable,Not Applicable,Applicable,Applicable,Not Applicable,Not Applicable,Not Applicable,Applicable,Not Applicable
56,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Not Applicable
57,Food and beverages ,Micro,Applicable,Not Applicable,Applicable,Applicable,Not Applicable,Applicable,Not Applicable,Applicable,Not Applicable
58,Retail,Micro,Applicable,Applicable,Not Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
59,Manufacturing,Micro,Not Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
60,Services,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
61,Manufacturing,Micro,Not Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
62,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
63,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
64,Services,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
65,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
66,Services,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Not Applicable
67,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
68,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
69,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
70,Retail,Micro,Applicable,Not Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
71,Services,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
72,Services,Small,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
73,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
74,Manufacturing,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
75,Food and beverages ,Micro,Applicable,Not Applicable,Applicable,Applicable,Not Applicable,Applicable,Not Applicable,Applicable,Not Applicable
76,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
77,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
78,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
79,Services,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Not Applicable
80,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
81,Retail,Micro,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
82,Food and beverages ,Small,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
83,Food and beverages ,Small,Applicable,Applicable,Applicable,Applicable,Not Applicable,Not Applicable,Not Applicable,Applicable,Not Applicable
84,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
85,Services,Small,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
86,Food and beverages ,Small,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
87,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
88,Retail,Micro,Applicable,Not Applicable,Applicable,Applicable,Not Applicable,Not Applicable,Not Applicable,Applicable,Not Applicable
89,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
90,Food and beverages ,Small,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Not Applicable
91,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
92,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
93,Services,Micro,Applicable,Not Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
94,Food and beverages ,Small,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
95,Services,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
96,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
97,Services,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
98,Agriculture,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Applicable
99,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
100,Retail,Micro,Applicable,Not Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
101,Food and beverages ,Micro,Applicable,Not Applicable,Applicable,Applicable,Not Applicable,Applicable,Not Applicable,Applicable,Not Applicable
102,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
103,Manufacturing,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
104,Retail,Micro,Applicable,Applicable,Not Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
105,Food and beverages ,Medium,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable
106,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
107,Services,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
108,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
109,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
110,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
111,Food and beverages ,Medium,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
112,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
113,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
114,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
115,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
116,Retail,Micro,Applicable,Not Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
117,Services,Small,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
118,Retail,Micro,Applicable,Applicable,Not Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
119,Services,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Not Applicable
120,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
121,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
122,Food and beverages ,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
123,Manufacturing,Micro,Applicable,Not Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
124,Retail,Micro,Applicable,Not Applicable,Applicable,Applicable,Not Applicable,Not Applicable,Not Applicable,Applicable,Not Applicable
125,Retail,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
126,Services,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Not Applicable
127,Services,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
128,Services,Small,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
129,Retail,Micro,Applicable,Not Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
